2026-01-24 01:00:34,120 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=20
2026-01-24 01:01:34,205 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=20
2026-01-24 01:02:34,325 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=20
2026-01-24 01:03:34,449 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=20
2026-01-24 01:04:34,614 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=20
2026-01-24 01:05:34,772 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.01% | held_candles=21
2026-01-24 01:06:34,896 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.01% | held_candles=21
2026-01-24 01:07:35,061 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.01% | held_candles=21
2026-01-24 01:08:35,250 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.01% | held_candles=21
2026-01-24 01:09:35,431 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.01% | held_candles=21
2026-01-24 01:10:35,539 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=22
2026-01-24 01:11:35,675 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=22
2026-01-24 01:12:35,836 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=22
2026-01-24 01:13:36,018 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=22
2026-01-24 01:14:36,199 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=22
2026-01-24 01:15:36,386 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=23
2026-01-24 01:16:36,543 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=23
2026-01-24 01:17:36,728 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=23
2026-01-24 01:18:36,903 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=23
2026-01-24 01:19:37,064 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=23
2026-01-24 01:20:37,167 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=24
2026-01-24 01:21:37,318 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=24
2026-01-24 01:22:37,478 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=24
2026-01-24 01:23:37,657 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=24
2026-01-24 01:24:37,832 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=24
2026-01-24 01:25:38,008 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.09% | held_candles=25
2026-01-24 01:26:38,202 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.09% | held_candles=25
2026-01-24 01:27:38,326 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.09% | held_candles=25
2026-01-24 01:28:38,464 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.09% | held_candles=25
2026-01-24 01:29:38,599 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.09% | held_candles=25
2026-01-24 01:30:38,699 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.15% | held_candles=26
2026-01-24 01:31:38,845 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.15% | held_candles=26
2026-01-24 01:32:39,014 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.15% | held_candles=26
2026-01-24 01:33:39,161 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.15% | held_candles=26
2026-01-24 01:34:39,322 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.15% | held_candles=26
2026-01-24 01:35:39,464 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.01% | held_candles=27
2026-01-24 01:36:39,629 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.01% | held_candles=27
2026-01-24 01:37:39,702 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.01% | held_candles=27
2026-01-24 01:38:39,839 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.01% | held_candles=27
