time,symbol,tf,side,size,entry,exit,pnl_pct,open_order_id,close_order_id,reason,strat_id
2026-01-26 23:10:10.431975,cmt_dogeusdt,5m,LONG,7800.0,0.12224,,,710804545692762652,,OPEN,1
2026-01-26 23:39:02.118568,cmt_dogeusdt,5m,LONG,7800.0,0.12224,0.12266,0.3436,710804545692762652,710811808692175388,SCORE,
2026-01-26 23:45:05.458661,cmt_solusdt,5m,LONG,7.7,124.43,,,710813333002912284,,OPEN,1
2026-01-27 00:10:02.157634,cmt_solusdt,5m,LONG,7.7,124.43,123.93,-0.4018,710813333002912284,710819610269581852,HARD_STOP,
2026-01-27 01:05:15.390644,cmt_solusdt,5m,LONG,7.7,123.83,,,710833507194110492,,OPEN,1
2026-01-27 01:41:02.427536,cmt_solusdt,5m,LONG,7.7,123.83,124.45,0.5007,710833507194110492,710842512427713052,SCORE,
2026-01-27 01:55:05.300423,cmt_solusdt,5m,LONG,7.7,124.22,,,710846047538119196,,OPEN,1
2026-01-27 02:27:02.521891,cmt_solusdt,5m,LONG,7.7,124.22,124.49,0.2174,710846047538119196,710854089042297372,SCORE,
2026-01-27 03:05:04.690508,cmt_solusdt,5m,LONG,7.6,125.0,,,710863661106725404,,OPEN,0
2026-01-27 03:15:02.776192,cmt_solusdt,5m,LONG,7.6,125.0,124.56,-0.352,710863661106725404,710866169740919324,HARD_STOP,
2026-01-27 03:40:11.449883,cmt_solusdt,5m,LONG,7.6,124.63,,,710872497498620444,,OPEN,1
2026-01-27 05:15:07.475689,cmt_solusdt,5m,LONG,7.6,124.63,124.2,-0.345,710872497498620444,710896366880031260,HARD_STOP,
2026-01-27 05:25:10.447345,cmt_dogeusdt,5m,LONG,7700.0,0.12255,,,710898917478236700,,OPEN,1
2026-01-27 09:54:07.928394,cmt_dogeusdt,5m,LONG,7700.0,0.12198,,,710966605399458332,,OPEN,1
2026-01-27 11:23:01.066402,cmt_dogeusdt,5m,LONG,7700.0,0.12198,0.12159,-0.3197,710966605399458332,710988974163755548,HARD_STOP,
2026-01-27 15:30:09.948925+00:00,cmt_dogeusdt,5m,LONG,7700.0,0.1217,,,711051144641643036,,OPEN,1
2026-01-27 20:33:08.905430+00:00,cmt_solusdt,5m,LONG,7.4,126.86,,,711127414259843612,,OPEN,1
2026-01-27 22:51:02.139326+00:00,cmt_solusdt,5m,LONG,7.4,126.86,127.5,0.5045,711127414259843612,711162117197136412,SCORE,
2026-01-27 23:10:11.801859+00:00,cmt_dogeusdt,5m,LONG,7500.0,0.12607,,,711166915493495324,,OPEN,1
2026-01-27 23:47:02.445926+00:00,cmt_dogeusdt,5m,LONG,7500.0,0.12607,0.12652,0.3569,711166915493495324,711176211358810652,SCORE,
2026-01-28 00:29:14.378737+00:00,cmt_dogeusdt,5m,LONG,7500.0,0.12584,,,711186807055712796,,OPEN,1
2026-01-28 00:44:01.927352+00:00,cmt_dogeusdt,5m,LONG,7500.0,0.12584,0.12541,-0.3417,711186807055712796,711190553697452572,HARD_STOP,
2026-01-28 01:23:14.016482+00:00,cmt_solusdt,5m,LONG,7.4,126.93,,,711200416494256668,,OPEN,0
2026-01-28 04:17:02.215766+00:00,cmt_solusdt,5m,LONG,7.4,126.93,126.53,-0.3151,711200416494256668,711244158018257436,HARD_STOP,
2026-01-28 04:26:03.921299+00:00,cmt_solusdt,5m,LONG,7.4,126.47,,,711246427929444892,,OPEN,0
2026-01-28 04:40:07.330952+00:00,cmt_solusdt,5m,LONG,7.4,126.47,126.87,0.3163,711246427929444892,711249967729082908,SCORE,
2026-01-28 06:15:05.004674+00:00,cmt_dogeusdt,5m,LONG,7500.0,0.12527,,,711273863257784860,,OPEN,1
2026-01-28 06:53:02.730764+00:00,cmt_dogeusdt,5m,LONG,7500.0,0.12527,0.12571,0.3512,711273863257784860,711283418830209564,SCORE,
2026-01-28 17:31:04.155336+00:00,cmt_dogeusdt,5m,LONG,7600.0,0.12402,,,711443980415402524,,OPEN,1
2026-01-28 18:04:02.398120+00:00,cmt_dogeusdt,5m,LONG,7600.0,0.12402,0.12461,0.4757,711443980415402524,711452280221598236,SCORE,
